loan_id,client_id,issue_date,age,gender,monthly_income,employment_type,work_experience_years,region,channel,loan_product,loan_amount,loan_term_months,interest_rate,monthly_payment,credit_score,existing_loans_count,dti_ratio,days_past_due,is_default,quarter,age_grp,high_dti,low_score,z_credit_score,z_dti_ratio,z_monthly_income,z_loan_amount,z_interest_rate,z_age,PD_hat,risk_segment,LGD,EL_loan,income_loan
1107,30287,2023-09-08,35,M,91014.0,employed,15.7,SPb,online,car,970000,36,14.1,33199.0,726.0,0,69.1,0,0,2023Q3,26-35,1,0,1.2724141976147922,0.8841024007793316,0.364650054727542,2.2404939862675595,-1.6704634879267704,-0.1242654903499661,0.06757528913213212,LOW,0.45,19465.75098109169,225164.0
1108,94709,2024-08-31,34,M,84819.0,employed,14.2,Siberia,branch,car,650000,60,15.5,15635.0,559.0,2,68.2,0,0,2024Q3,26-35,1,1,-0.9496725790342557,0.8213115865490813,0.1657986465904316,0.9718003872278549,-1.0260018338625856,-0.2062782486675673,0.3476552491455645,HIGH,0.45,152832.27848101265,288100.0
1109,40711,2024-06-13,19,M,87196.0,self_employed,0.6,SPb,branch,education,220000,12,16.6,20023.0,578.0,1,42.7,0,0,2024Q2,18-25,0,1,-0.6968603110322682,-0.9577614833080274,0.24209724177072398,-0.7330066364817482,-0.5196391056692969,-1.4364696234315852,0.10947547065180861,MEDIUM,0.7,28913.216108905275,20276.0
1110,12954,2023-11-23,24,F,73219.0,employed,5.4,Ural,partner,car,510000,36,15.3,17754.0,635.0,1,51.8,0,0,2023Q4,18-25,0,0,0.06157649297369423,-0.3228765838688243,-0.2065462015759091,0.4167469376479841,-1.118067784443183,-1.0264058318435791,0.07258365863843363,LOW,0.45,10234.570103460579,129144.0
1111,74340,2023-04-07,20,M,71827.0,employed,0.0,Ural,partner,renovation,600000,36,18.5,21842.0,624.0,5,76.0,151,1,2023Q2,18-25,1,0,-0.08478850429061431,1.3654986432112555,-0.25122758335587,0.773567012377901,0.3549874248463816,-1.3544568651139839,0.3179164512412478,HIGH,0.7,219451.47679324893,0.0
1112,73101,2024-05-27,19,M,22220.0,unemployed,0.1,Siberia,branch,consumer,80000,36,21.2,3022.0,485.0,1,54.4,204,1,2024Q2,18-25,0,1,-1.934309833357786,-0.14148089831476604,-1.843547487061703,-1.2880600860616191,1.5978777576844518,-1.4364696234315852,0.5774628877789112,HIGH,0.7,29260.196905766526,0.0
1113,72520,2023-08-04,39,M,71526.0,freelance,18.3,Siberia,online,renovation,520000,36,17.5,18669.0,715.0,3,60.3,12,0,2023Q3,36-45,0,0,1.1260492003504836,0.27014777275021196,-0.2608892901919104,0.45639361261797484,-0.10534232805660741,0.20378554292043866,0.05975956706203836,LOW,0.7,16232.607920085622,152084.0
1114,88062,2023-05-12,40,F,115426.0,employed,20.8,Moscow,online,car,1160000,48,15.5,32578.0,676.0,3,83.9,90,1,2023Q2,36-45,1,0,0.6071187555042988,1.9166624570101247,1.1482433679548445,2.993780810697384,-1.0260018338625856,0.28579830123803984,0.26791278749160957,MEDIUM,0.45,98004.5377197958,0.0
1115,19574,2023-09-17,21,M,85940.0,self_employed,0.0,SPb,partner,consumer,270000,24,20.8,13848.0,584.0,1,52.5,90,1,2023Q3,18-25,0,0,-0.617024857979009,-0.27403928391196225,0.20178128234857537,-0.5347732616317944,1.4137458565232568,-1.2724441067963828,0.17451488782948404,MEDIUM,0.7,35484.40158820192,0.0
1116,10184,2023-05-05,31,M,129249.0,employed,10.3,Moscow,online,renovation,670000,36,17.5,24054.0,627.0,0,64.1,9,0,2023Q2,26-35,0,0,-0.0448707777639847,0.5352645439446044,1.5919436124551312,1.0510937371678364,-0.10534232805660741,-0.4523165236203709,0.17123637881205853,MEDIUM,0.7,88053.88542257514,195944.0
1117,20096,2023-03-23,32,F,116602.0,employed,10.3,Siberia,online,education,380000,12,14.3,34173.0,736.0,2,48.6,14,0,2023Q1,26-35,0,0,1.4054732860368908,-0.5461328122430493,1.1859914318723976,-0.09865983696189594,-1.578397537346172,-0.3703037653027697,0.0218180821685014,LOW,0.7,11862.290403139492,30076.0
1118,68728,2023-10-10,30,F,28067.0,unemployed,0.3,Moscow,partner,consumer,80000,24,20.5,4091.0,569.0,4,55.0,0,0,2023Q4,26-35,0,1,-0.816613490612157,-0.09962035549459868,-1.6558664243695826,-1.2880600860616191,1.2756469306523597,-0.534329281937972,0.33622272859942204,HIGH,0.7,29260.196905766526,18184.0
1119,35016,2024-11-13,27,M,52916.0,freelance,8.1,SPb,online,renovation,220000,48,17.1,6359.0,637.0,1,46.5,36,0,2024Q4,26-35,0,0,0.08818831065811397,-0.6926447121136349,-0.8582459819484276,-0.7330066364817482,-0.28947422921780236,-0.7803675568907756,0.06058406700454725,LOW,0.7,6867.641812343917,85232.0
1120,12246,2023-02-28,31,F,67143.0,employed,0.0,Siberia,partner,education,230000,60,16.4,5642.0,595.0,3,46.1,0,0,2023Q1,26-35,0,0,-0.47065986071470045,-0.7205517406604129,-0.40157786514993377,-0.6933599615117575,-0.611705056249896,-0.4523165236203709,0.10161872431633631,MEDIUM,0.7,30227.453204764603,108520.0
1121,46558,2024-06-27,65,M,119951.0,employed,45.0,SPb,online,consumer,390000,6,16.0,68067.0,803.0,0,33.0,52,0,2024Q2,56+,0,0,2.296969178464952,-1.6345069255673983,1.2934899574335248,-0.05901316199190517,-0.795836957411091,2.3361172591780694,0.0032323902102709043,LOW,0.7,12174.455940064216,18402.0
1122,19381,2023-06-10,56,F,90084.0,self_employed,36.7,Moscow,online,consumer,240000,24,18.5,12040.0,728.0,2,31.7,3,0,2023Q2,56+,0,0,1.299026015299212,-1.7252047683444274,0.33479826948661984,-0.6537132865417667,0.3549874248463816,1.5980024343196588,0.009089970903639886,LOW,0.7,7491.972886193364,48960.0
1123,37455,2023-10-11,42,M,63588.0,employed,17.8,Ural,online,renovation,270000,48,17.3,7833.0,653.0,2,42.2,0,0,2023Q4,36-45,0,0,0.30108285213347186,-0.9926452689915001,-0.5156887216353941,-0.5347732616317944,-0.1974082786372049,0.4498238178732422,0.0361164794590614,LOW,0.7,8428.469496967535,105984.0
1124,93263,2023-04-16,32,M,61649.0,employed,13.9,South,online,education,190000,24,14.4,9158.0,764.0,1,45.2,0,0,2023Q2,26-35,0,0,1.778038733618767,-0.7833425548906637,-0.5779280889280265,-0.8519466613917206,-1.5323645620558732,-0.3703037653027697,0.012579100114954443,LOW,0.7,5931.145201569746,29792.0
1125,5018,2023-04-15,41,F,158274.0,employed,20.7,Moscow,branch,education,360000,36,15.0,12480.0,686.0,1,41.0,0,0,2023Q2,36-45,0,0,0.7401778439263975,-1.0763663546318347,2.523608200216169,-0.17795318690187747,-1.2561667103140801,0.36781105955564103,0.026348894103035484,LOW,0.7,11237.959329290046,89280.0
1126,12302,2024-03-14,53,F,58381.0,self_employed,34.3,Siberia,partner,consumer,180000,24,21.3,9276.0,520.0,1,70.2,183,1,2024Q1,46-55,1,1,-1.4686030238804406,0.9608467292829721,-0.6828266202907507,-0.8915933363617113,1.6439107329747513,1.3519641593668552,0.5757475109801344,HIGH,0.7,65835.44303797469,0.0
1127,68506,2023-08-16,30,M,103642.0,employed,10.6,Moscow,branch,renovation,660000,24,18.4,33078.0,626.0,2,64.9,22,0,2023Q3,26-35,0,0,-0.05817668660619457,0.5910786010381616,0.7699923601279343,1.0114470621978455,0.3089544495560821,-0.534329281937972,0.18846203667911704,MEDIUM,0.7,86739.64832671582,133872.0
1128,42157,2024-11-30,26,M,65150.0,employed,7.3,SPb,branch,car,560000,60,15.0,13322.0,565.0,2,61.3,212,1,2024Q4,26-35,0,1,-0.8698371259809965,0.33991534411715735,-0.46555056190816796,0.6149803124979379,-1.2561667103140801,-0.8623803152083768,0.23583303011773488,MEDIUM,0.45,47312.5354509359,0.0
1129,55917,2024-08-04,26,F,74471.0,employed,7.9,SPb,online,consumer,320000,36,18.8,11698.0,631.0,3,39.6,11,0,2024Q3,26-35,0,0,0.008352857604854767,-1.1740409545455583,-0.16635863692899028,-0.33653988678184055,0.4930863507172787,-0.8623803152083768,0.04195598525200085,LOW,0.7,9989.297181591151,101128.0
1130,93738,2023-11-14,38,F,63550.0,employed,18.4,Siberia,online,renovation,380000,24,18.2,19008.0,593.0,3,49.3,143,1,2023Q4,36-45,0,0,-0.4972716783991202,-0.49729551228618785,-0.5169084720000771,-0.09865983696189594,0.2168884989754846,0.12177278460283747,0.11134038199861654,MEDIUM,0.7,49941.009642654564,0.0
1131,97646,2024-04-08,22,M,88627.0,employed,0.0,South,branch,renovation,570000,60,17.1,14197.0,603.0,0,49.8,21,0,2024Q2,18-25,0,0,-0.3642125899770215,-0.4624117266027151,0.28803047260917514,0.6546269874679287,-0.28947422921780236,-1.1904313484787816,0.0966783039478358,LOW,0.7,17793.43560470924,281820.0
1132,84122,2024-08-21,50,F,135467.0,employed,22.9,Moscow,partner,car,1190000,12,14.6,107183.0,692.0,0,82.6,168,1,2024Q3,46-55,1,0,0.8200132969796566,1.825964614233095,1.791533290549813,3.112720835607356,-1.4402986114752758,1.1059258844140518,0.2090264612025276,MEDIUM,0.45,100539.1378332388,0.0
1133,25519,2024-04-16,29,M,81388.0,employed,8.1,Siberia,branch,consumer,210000,36,19.3,7730.0,638.0,4,47.1,0,0,2024Q2,26-35,0,0,0.10149421950032383,-0.6507841692934675,0.05566802813709409,-0.772653311451739,0.7232512271687732,-0.6163420402555733,0.06274738500989653,LOW,0.7,6555.476275419193,68280.0
1134,97809,2023-02-25,19,M,76163.0,freelance,0.0,SPb,branch,car,400000,60,15.6,9642.0,609.0,1,60.5,148,1,2023Q1,18-25,0,0,-0.2843771369237623,0.2841012870236012,-0.11204764700679644,-0.0193664870219144,-0.9799688585722868,-1.4364696234315852,0.1722865708342289,MEDIUM,0.45,33794.66817923993,0.0
1135,88487,2024-09-16,28,M,67134.0,employed,5.6,South,branch,consumer,240000,24,19.5,12156.0,569.0,1,56.9,0,0,2024Q3,26-35,0,1,-0.816613490612157,0.03293803010259755,-0.40186675339420075,-0.6537132865417667,0.8153171777493707,-0.6983547985731744,0.21599254703659526,MEDIUM,0.7,31541.690300623934,51744.0
1136,57819,2023-01-13,21,M,66477.0,employed,0.9,Moscow,partner,car,490000,24,15.1,23782.0,639.0,1,58.0,21,0,2023Q1,18-25,0,0,0.11480012834253371,0.10968235860623764,-0.4229555952256909,0.33745358770800254,-1.2101337350237813,-1.2724441067963828,0.0969337479547492,LOW,0.45,9833.214413128791,80768.0
1137,81910,2024-03-15,36,M,33241.0,unemployed,0.9,Ural,online,education,100000,60,17.8,2528.0,574.0,2,55.0,0,0,2024Q1,36-45,0,1,-0.7500839464011076,-0.09962035549459868,-1.4897877826098718,-1.2087667361216374,0.03275659781428963,-0.04225273203236492,0.3485311538112304,HIGH,0.7,36575.24613220816,51680.0
1138,72324,2023-01-18,30,M,79875.0,self_employed,11.4,Moscow,branch,consumer,260000,48,20.0,7912.0,614.0,2,57.2,29,0,2023Q1,26-35,0,0,-0.21784759271271298,0.05386830151268148,0.0071027044064325825,-0.5744199366017851,1.0454820542008652,-0.534329281937972,0.15707871762876963,MEDIUM,0.7,34170.1644923426,119776.0
1139,6408,2024-11-24,43,M,84046.0,self_employed,20.2,South,online,renovation,540000,48,17.9,15834.0,595.0,1,65.8,4,0,2024Q4,36-45,1,0,-0.47065986071470045,0.6538694152684118,0.140986356277278,0.5356869625579563,0.07878957310458755,0.5318365761908435,0.2635866655850521,MEDIUM,0.7,70968.80317640385,220032.0
1140,60379,2023-04-23,39,M,143695.0,employed,18.9,Moscow,online,consumer,370000,24,19.4,18723.0,680.0,1,50.2,29,0,2023Q2,36-45,0,0,0.6603423908731383,-0.43450469805593656,2.055641343197455,-0.1383065119318867,0.7692842024590711,0.20378554292043866,0.04941238160950037,LOW,0.7,11550.124866214768,79352.0
1141,26053,2023-08-17,29,M,105292.0,employed,1.0,Moscow,partner,consumer,340000,48,19.2,10202.0,651.0,3,58.9,113,1,2023Q3,26-35,0,0,0.27447103444905213,0.17247317283648841,0.8229552049102155,-0.257246536841859,0.6772182518784736,-0.6163420402555733,0.10702823727346632,MEDIUM,0.7,44684.06125921724,0.0
1142,10446,2023-06-20,38,M,94821.0,self_employed,15.1,Ural,partner,consumer,370000,60,19.8,9762.0,643.0,2,60.9,20,0,2023Q2,36-45,0,0,0.16802376371137318,0.3120083155703793,0.4868497820524781,-0.1383065119318867,0.9534161036202677,0.12177278460283747,0.142273956758617,MEDIUM,0.7,48626.77254679523,215720.0
1143,1922,2023-10-22,28,F,50434.0,self_employed,8.4,South,branch,car,370000,48,16.0,10486.0,604.0,3,60.1,199,1,2023Q4,26-35,0,0,-0.35090668113481166,0.25619425847682314,-0.9379149399785015,-0.1383065119318867,-0.795836957411091,-0.6983547985731744,0.17278531341431524,MEDIUM,0.45,31260.06806579694,0.0
1144,99723,2023-07-08,21,M,55643.0,employed,0.0,South,online,car,350000,36,15.4,12202.0,649.0,3,74.2,12,0,2023Q3,18-25,1,0,0.24785921676463238,1.2399170147507539,-0.7707128439355301,-0.21759986187186825,-1.0720348091528842,-1.2724441067963828,0.20879877189909934,MEDIUM,0.45,29570.33465683494,89272.0
1145,52356,2024-03-01,50,F,143572.0,employed,30.2,Moscow,online,consumer,330000,24,18.2,16507.0,722.0,0,48.2,34,0,2024Q1,46-55,0,0,1.2191905622459527,-0.5740398407898274,2.0516932038591396,-0.2968932118118498,0.2168884989754846,1.1059258844140518,0.024993562319067554,LOW,0.7,10301.462718515875,66168.0
1146,11789,2023-03-20,24,M,25831.0,unemployed,1.4,SPb,online,car,350000,60,17.0,8698.0,562.0,3,65.3,205,1,2023Q1,18-25,1,1,-0.9097548525076261,0.6189856295849391,-1.7276391037230256,-0.21759986187186825,-0.33550720450810195,-1.0264058318435791,0.47770479672270366,HIGH,0.45,82294.30379746835,0.0
1147,98720,2024-10-19,27,M,44594.0,employed,6.8,South,online,car,350000,36,13.9,11945.0,688.0,3,41.9,0,0,2024Q4,26-35,0,0,0.7667896616108172,-1.013575540401584,-1.1253713118139697,-0.21759986187186825,-1.7625294385073678,-0.7803675568907756,0.019795614362702593,LOW,0.45,7023.72458080628,80020.0
1148,67656,2023-07-01,24,F,78968.0,employed,0.0,Moscow,online,education,240000,24,16.3,11786.0,615.0,1,45.3,0,0,2023Q3,18-25,0,0,-0.20454168387050312,-0.7763657977539696,-0.022010810876918366,-0.6537132865417667,-0.657738031540194,-1.0264058318435791,0.07853759393507866,LOW,0.7,7491.972886193364,42864.0
1149,45028,2024-05-13,32,F,99028.0,employed,8.2,Siberia,online,consumer,360000,36,20.0,13379.0,536.0,1,53.3,14,0,2024Q2,26-35,0,1,-1.2557084824050826,-0.21822522681840612,0.6218889869003915,-0.17795318690187747,1.0454820542008652,-0.3703037653027697,0.2556525799986492,MEDIUM,0.7,47312.5354509359,121644.0
1150,65484,2024-12-08,32,M,74790.0,freelance,11.4,SPb,partner,renovation,480000,12,19.2,44281.0,529.0,1,63.5,119,1,2024Q4,26-35,0,1,-1.3488498443005517,0.49340400112443755,-0.1561191536044159,0.29780691273801174,0.6772182518784736,-0.3703037653027697,0.4359931037707594,HIGH,0.7,175561.18143459916,0.0
1151,33154,2023-03-12,25,M,54693.0,freelance,5.6,Ural,branch,consumer,200000,48,20.1,6097.0,593.0,0,55.9,6,0,2023Q1,18-25,0,0,-0.4972716783991202,-0.036829541264347884,-0.8012066030526012,-0.8122999864217298,1.0915150294911649,-0.944393073525978,0.18596937981954187,MEDIUM,0.7,26284.74191718661,92656.0
1152,83870,2023-09-05,25,F,49686.0,freelance,7.0,Ural,online,consumer,140000,36,19.7,5182.0,627.0,1,34.8,8,0,2023Q3,18-25,0,0,-0.0448707777639847,-1.5089252971068967,-0.961924762946469,-1.0501800362416744,0.9073831283299681,-0.944393073525978,0.03888502511365003,LOW,0.7,4370.317516946129,46552.0
1153,3336,2023-05-26,20,F,90320.0,employed,0.9,Ural,partner,consumer,420000,24,20.0,21376.0,560.0,1,59.0,5,0,2023Q2,18-25,0,1,-0.9363666701920458,0.17944992997318307,0.3423735612251764,0.05992686291806714,1.0454820542008652,-1.3544568651139839,0.2685895018985646,MEDIUM,0.7,55197.95802609188,93024.0
1154,68779,2024-09-09,32,F,77151.0,employed,0.2,Ural,branch,consumer,260000,36,18.8,9504.0,585.0,3,37.9,9,0,2024Q3,26-35,0,0,-0.6037189491367991,-1.2926458258693658,-0.08033413752504259,-0.5744199366017851,0.4930863507172787,-0.3703037653027697,0.06320605280315224,LOW,0.7,8116.303960042811,82144.0
1155,20029,2023-10-23,50,M,96965.0,employed,28.1,Ural,online,consumer,240000,60,18.1,6107.0,684.0,1,30.8,0,0,2023Q4,46-55,0,0,0.7135660262419777,-1.7879955825746783,0.5556693815756362,-0.6537132865417667,0.17085552368518667,1.1059258844140518,0.013001027567361491,LOW,0.7,7491.972886193364,126420.0
1156,60201,2024-08-04,42,M,151685.0,self_employed,20.2,Ural,partner,consumer,420000,12,20.8,39067.0,552.0,4,75.4,4,0,2024Q3,36-45,1,1,-1.0428139409297248,1.3236381003910886,2.312109906718926,0.05992686291806714,1.4137458565232568,0.4498238178732422,0.5668774541721782,HIGH,0.7,153616.03375527426,48804.0
1157,33265,2024-04-14,33,F,76549.0,self_employed,10.7,Ural,online,consumer,280000,60,18.3,7156.0,728.0,2,51.8,6,0,2024Q2,26-35,0,0,1.299026015299212,-0.3228765838688243,-0.09965755119712337,-0.49512658666180365,0.26292147426578416,-0.28829100698516846,0.03000011149682664,LOW,0.7,8740.635033892258,149360.0
1158,44872,2024-05-20,24,F,18000.0,unemployed,0.4,Siberia,partner,renovation,180000,60,20.3,4799.0,515.0,0,55.6,104,1,2024Q2,18-25,0,1,-1.5351325680914898,-0.05775981267443132,-1.979003974929113,-0.8915933363617113,1.1835809800717623,-1.0264058318435791,0.507070316926555,HIGH,0.7,65835.44303797469,0.0
1159,47197,2023-07-12,26,F,81142.0,employed,5.4,Siberia,online,car,520000,60,16.2,12701.0,610.0,1,57.4,34,0,2023Q3,26-35,0,0,-0.27107122808155243,0.06782181578607027,0.047771749460463066,0.45639361261797484,-0.7037710068304935,-0.8623803152083768,0.13755786552371857,MEDIUM,0.45,43933.06863301191,242060.0
1160,56180,2023-03-09,31,F,87219.0,self_employed,11.2,Siberia,online,consumer,300000,12,20.3,27833.0,603.0,2,69.1,3,0,2023Q1,26-35,1,0,-0.3642125899770215,0.8841024007793316,0.24283551172829515,-0.4158332367218221,1.1835809800717623,-0.4523165236203709,0.3120716681520934,HIGH,0.7,109725.73839662447,33996.0
1161,24710,2024-05-08,20,F,46997.0,employed,0.2,South,branch,consumer,180000,12,19.1,16597.0,568.0,0,40.9,90,1,2024Q2,18-25,0,1,-0.8299193994543669,-1.0833431117685295,-1.0482381505946836,-0.8915933363617113,0.6311852765881757,-1.3544568651139839,0.09051317363987112,LOW,0.7,5618.979664645023,0.0
1162,30486,2023-02-21,19,M,74207.0,employed,0.0,SPb,online,consumer,230000,12,19.6,21262.0,648.0,1,39.2,29,0,2023Q1,18-25,0,0,0.23455330792242252,-1.2019479830923363,-0.17483269209415525,-0.6933599615117575,0.8613501530396702,-1.4364696234315852,0.035991197331461444,LOW,0.7,7179.807349268641,25144.0
1163,72907,2023-12-29,37,M,88195.0,employed,17.5,Siberia,partner,car,700000,36,14.8,24197.0,696.0,3,69.0,0,0,2023Q4,36-45,1,0,0.8732369323484962,0.8771256436426375,0.2741638368843597,1.1700337620778087,-1.3482326608946775,0.03976002628523627,0.09726947808791082,LOW,0.45,14047.44916161256,171092.0
1164,72895,2024-04-18,60,F,119594.0,employed,36.5,South,online,education,450000,36,17.5,16156.0,555.0,0,69.8,145,1,2024Q2,56+,1,1,-1.002896214403095,0.9329397007361936,1.2820307237442676,0.17886688782803944,-0.10534232805660741,1.9260534675900636,0.46632900180852455,HIGH,0.7,164588.6075949367,0.0
1165,65435,2024-06-04,31,M,24739.0,unemployed,0.8,SPb,online,car,350000,36,16.3,12357.0,590.0,0,56.6,8,0,2024Q2,26-35,0,0,-0.5371894049257498,0.01200775869251412,-1.7626908773607537,-0.21759986187186825,-0.657738031540194,-0.4523165236203709,0.26749125924544553,MEDIUM,0.45,29570.33465683494,94852.0
1166,41631,2024-03-06,34,M,65925.0,employed,11.6,Siberia,online,consumer,200000,24,19.2,10101.0,638.0,1,42.9,8,0,2024Q1,26-35,0,0,0.10149421950032383,-0.9438079690346386,-0.4406740742073995,-0.8122999864217298,0.6772182518784736,-0.2062782486675673,0.04834722043437407,LOW,0.7,6243.31073849447,42424.0
1167,21103,2023-10-25,32,M,31051.0,unemployed,1.0,Moscow,partner,consumer,110000,12,23.0,10348.0,490.0,3,80.5,264,1,2023Q4,26-35,1,1,-1.8677802891467365,1.67945271436251,-1.5600839220481724,-1.1691200611516468,2.4264713129098325,-0.3703037653027697,0.8818930984774146,HIGH,0.7,40232.77074542897,0.0
1168,65772,2024-03-10,26,M,82766.0,employed,7.5,Moscow,branch,consumer,230000,36,17.4,8246.0,732.0,2,23.7,0,0,2024Q1,26-35,0,0,1.3522496506680515,-2.283345339279991,0.09990002820375077,-0.6933599615117575,-0.15137530334690696,-0.8623803152083768,0.0045426489645743655,LOW,0.7,7179.807349268641,66856.0
1169,15382,2024-11-26,45,M,146092.0,employed,25.9,SPb,online,car,860000,36,14.1,29435.0,674.0,2,81.3,22,0,2024Q4,36-45,1,0,0.580506937819879,1.7352667714560661,2.1325819122538965,1.8043805615976611,-1.6704634879267704,0.6958620928260458,0.2253749695345505,MEDIUM,0.45,72658.53658536586,199660.0
1170,85291,2024-11-21,33,F,59966.0,employed,9.4,Siberia,partner,car,450000,60,15.8,10895.0,584.0,0,53.4,35,0,2024Q4,26-35,0,0,-0.617024857979009,-0.2112484696817115,-0.6319501906059534,0.17886688782803944,-0.8879029079916885,-0.28829100698516846,0.13898226909070263,MEDIUM,0.45,38019.00170164493,203700.0
1171,4756,2023-07-17,32,M,49120.0,employed,7.8,SPb,online,car,560000,48,15.0,15585.0,679.0,2,52.8,14,0,2023Q3,26-35,0,0,0.6470364820309285,-0.25310901250187884,-0.9800926236414819,0.6149803124979379,-1.2561667103140801,-0.3703037653027697,0.04582217916480245,LOW,0.45,11237.959329290048,188080.0
1172,21609,2023-05-08,31,M,96480.0,employed,12.9,Moscow,branch,car,530000,60,14.6,12498.0,633.0,2,57.2,28,0,2023Q2,26-35,0,0,0.0349646752892745,0.05386830151268148,0.5401015150790263,0.4960402875879656,-1.4402986114752758,-0.4523165236203709,0.0968278508390256,LOW,0.45,10635.925793792367,219880.0
1173,17478,2024-06-15,27,M,69300.0,employed,7.8,Moscow,partner,renovation,470000,24,17.5,23351.0,639.0,4,66.9,161,1,2024Q2,26-35,1,0,0.11480012834253371,0.7306137437720525,-0.33234098260727885,0.258160237768021,-0.10534232805660741,-0.7803675568907756,0.17088338136893055,MEDIUM,0.7,61769.143505388536,0.0
1174,40666,2024-02-15,29,M,99639.0,employed,5.3,Moscow,partner,consumer,290000,48,20.2,8856.0,600.0,0,44.3,0,0,2024Q1,26-35,0,0,-0.4041303165036511,-0.8461333691209151,0.6415012888167392,-0.45547991169181284,1.1375480047814628,-0.6163420402555733,0.08688107304108357,LOW,0.7,9052.800570816982,135088.0
1175,76683,2023-03-06,22,F,18019.0,unemployed,0.1,Ural,online,consumer,70000,36,23.5,2728.0,398.0,1,60.3,192,1,2023Q1,18-25,0,1,-3.0919239026300445,0.27014777275021196,-1.9783940997467717,-1.3277067610316098,2.656636189361327,-1.1904313484787816,0.8662025234996408,HIGH,0.7,25602.67229254571,0.0
1176,72315,2024-11-24,19,F,92957.0,self_employed,0.0,Moscow,online,renovation,550000,60,18.5,14116.0,564.0,1,72.3,49,0,2024Q4,18-25,1,1,-0.8831430348232063,1.107358629153557,0.427017816795404,0.5753336375279472,0.3549874248463816,-1.4364696234315852,0.4468910072069846,HIGH,0.7,201163.8537271449,296960.0
1177,78834,2023-08-29,34,M,34118.0,freelance,14.0,South,online,car,350000,48,16.7,10045.0,618.0,2,51.1,180,1,2023Q3,26-35,0,0,-0.1646239573438735,-0.37171388382568576,-1.4616372281407441,-0.21759986187186825,-0.47360613037899896,-0.2062782486675673,0.10048948656574642,MEDIUM,0.45,29570.33465683494,0.0
1178,15153,2024-01-04,60,F,108165.0,employed,33.7,SPb,branch,car,940000,48,15.2,26256.0,643.0,1,79.9,90,1,2024Q1,56+,1,0,0.16802376371137318,1.6375921715423432,0.9151747522189996,2.121553961357587,-1.1641007597334825,1.9260534675900636,0.28993712413782247,MEDIUM,0.45,79417.47022121384,0.0
1179,77325,2024-06-19,21,M,63375.0,employed,1.3,Ural,online,renovation,330000,36,17.3,11815.0,656.0,1,64.9,0,0,2024Q2,18-25,0,0,0.34100057866010147,0.5910786010381616,-0.5225257434163796,-0.2968932118118498,-0.1974082786372049,-1.2724441067963828,0.1278795392499689,MEDIUM,0.7,43369.82416335791,95340.0
1180,13999,2024-01-19,23,F,55578.0,employed,3.8,SPb,online,education,170000,48,16.2,4835.0,608.0,1,48.0,8,0,2024Q1,18-25,0,0,-0.2976830457659722,-0.5879933550632167,-0.7727992590330139,-0.9312400113317021,-0.7037710068304935,-1.1084185901611805,0.09654910624549386,LOW,0.7,5306.814127720299,62080.0
1181,56318,2024-03-06,34,M,45795.0,freelance,14.6,South,branch,car,350000,48,15.2,9776.0,636.0,0,44.2,17,0,2024Q1,26-35,0,0,0.07488240181590411,-0.8531101262576092,-1.0868207805512304,-0.21759986187186825,-1.1641007597334825,-0.2062782486675673,0.05029850997364907,LOW,0.45,7023.72458080628,119248.0
1182,1814,2023-03-24,30,M,78309.0,employed,5.5,SPb,branch,renovation,390000,60,17.2,9734.0,654.0,1,45.2,8,0,2023Q1,26-35,0,0,0.3143887609756817,-0.7833425548906637,-0.04316385009602341,-0.05901316199190517,-0.24344125392750446,-0.534329281937972,0.04269227489972249,LOW,0.7,12174.455940064216,194040.0
1183,77077,2024-11-27,33,F,61838.0,employed,13.8,Ural,branch,car,590000,48,15.0,16420.0,553.0,1,62.3,159,1,2024Q4,26-35,0,1,-1.029508032087515,0.4096829154841028,-0.5718614357984197,0.7339203374079102,-1.2561667103140801,-0.28829100698516846,0.27362778680888894,MEDIUM,0.45,49847.1355643789,0.0
1184,91474,2024-09-02,24,F,64912.0,self_employed,2.7,Siberia,online,consumer,240000,24,20.8,12309.0,473.0,1,52.6,9,0,2024Q3,18-25,0,1,-2.093980739464304,-0.26706252677526765,-0.4731900510343394,-0.6537132865417667,1.4137458565232568,-1.0264058318435791,0.43334623042224807,HIGH,0.7,87780.59071729958,55416.0
1185,3443,2024-07-27,36,M,87113.0,employed,16.1,Moscow,branch,education,300000,24,14.9,14532.0,652.0,0,34.4,0,0,2024Q3,36-45,0,0,0.28777694329126197,-1.5368323256536747,0.23943305018470618,-0.4158332367218221,-1.3021996856043787,-0.04225273203236492,0.024826477415560863,LOW,0.7,9364.966107741706,48768.0
1186,76993,2023-10-13,29,F,81070.0,freelance,2.5,Moscow,branch,renovation,310000,48,17.9,9090.0,625.0,0,41.9,40,0,2023Q4,26-35,0,0,-0.07148259544840443,-1.013575540401584,0.04546064350632716,-0.37618656175183135,0.07878957310458755,-0.6163420402555733,0.0570353602844073,LOW,0.7,9677.131644666428,126320.0
1187,76916,2024-06-17,29,M,66820.0,employed,10.5,SPb,branch,renovation,390000,48,16.1,11073.0,718.0,1,48.2,21,0,2024Q2,26-35,0,0,1.1659669268771131,-0.5740398407898274,-0.4119457432497379,-0.05901316199190517,-0.7498039821207915,-0.6163420402555733,0.022671618815935414,LOW,0.7,12174.455940064216,141504.0
